item_id,category,difficulty,direction,prompt,reference,uzbek_ok?,answer_ok?,corrections
trans_007,trans,medium,uz-en,Quyidagi gapni ingliz tiliga tarjima qiling: Ushbu qurilma ishga tushishidan oldin batareyani to'liq quvvatlang.,Fully charge the battery before turning on this device.,,,
trans_008,trans,medium,en-uz,Quyidagi gapni o'zbek tiliga tarjima qiling: Please save your work before closing the application.,"Iltimos, ilovani yopishdan oldin ishingizni saqlang.",,,
trans_009,trans,medium,uz-en,Quyidagi gapni ingliz tiliga tarjima qiling: Bilim olish har bir insonning muqaddas burchidir.,Acquiring knowledge is a sacred duty of every person.,,,
trans_010,trans,medium,en-uz,Quyidagi gapni o'zbek tiliga tarjima qiling: We would be honoured by your presence at the ceremony.,"Marosimda ishtirok etsangiz, biz uchun sharaf bo'ladi.",,,
trans_011,trans,easy,uz-en,"Quyidagi gapni ingliz tiliga tarjima qiling: Iltimos, menga bir stakan suv bering.",Please give me a glass of water.,,,
trans_012,trans,easy,en-uz,Quyidagi gapni o'zbek tiliga tarjima qiling: What time does the train leave?,Poyezd soat nechada jo'naydi?,,,
trans_013,trans,hard,uz-en,Quyidagi maqolni ingliz tiliga ma'nosini saqlagan holda tarjima qiling: Ishtaha tishning tagida,Appetite comes with eating (lit. 'appetite is under the teeth').,,,
trans_014,trans,hard,uz-en,Quyidagi iboraning ma'nosini ingliz tilida bering: Ko'z ochib yumguncha.,In the blink of an eye / very quickly.,,,
trans_015,trans,hard,uz-en,"Quyidagi maqolning ma'nosini ingliz tilida tushuntiring: Yetti o'lchab, bir kes.","Measure seven times, cut once (think carefully before acting).",,,
trans_016,trans,hard,en-uz,Quyidagi ingliz maqolini o'zbek tilidagi ma'no jihatidan mos keladigan ibora bilan bering: Better late than never.,"Hech bo'lmagandan ko'ra, kech bo'lgani yaxshi / Hechdan ko'ra kech",,,
trans_017,trans,medium,uz-en,"Quyidagi gapni ingliz tiliga tarjima qiling: Agar ertaga yomg'ir yog'masa, biz sayrga chiqamiz.","If it does not rain tomorrow, we will go for a walk.",,,
trans_018,trans,medium,en-uz,Quyidagi gapni o'zbek tiliga tarjima qiling: I have been learning Uzbek for two years.,Men ikki yildan beri o'zbek tilini o'rganyapman.,,,
trans_019,trans,medium,uz-en,Quyidagi gapni ingliz tiliga tarjima qiling: Ushbu shartnoma ikki tomonning roziligi bilan tuzildi.,This contract was concluded with the consent of both parties.,,,
trans_020,trans,medium,en-uz,Quyidagi gapni o'zbek tiliga tarjima qiling: The results of the research will be published next month.,Tadqiqot natijalari keyingi oyda e'lon chop etiladi.,,,
trans_021,trans,easy,uz-en,"Quyidagi gapni ingliz tiliga tarjima qiling: Mening ismim Aziz, men Toshkentdanman.","My name is Aziz, I am from Tashkent.",,,
trans_022,trans,easy,en-uz,Quyidagi gapni o'zbek tiliga tarjima qiling: This book is very interesting.,Bu kitob juda qiziqarli.,,,
trans_023,trans,medium,uz-en,Quyidagi gapni ingliz tiliga tarjima qiling: Yangi maktab qurilishi kelgusi yilning boshida yakunlanishi rejalashtirilgan.,Construction of the new school is planned to be completed at the beginning of next year.,,,
trans_024,trans,hard,en-uz,"Quyidagi gapni o'zbek tiliga tarjima qiling: If the temperature exceeds the safe limit, the system will shut down automatically.","Agar harorat xavfsiz chegaradan oshsa, tizim avtomatik ravishda o'chib qoladi.",,,
trans_025,trans,medium,uz-en,Quyidagi gapni ingliz tiliga tarjima qiling: U menga yordam bergani uchun men unga minnatdorchilik bildirdim.,I thanked him because he helped me.,,,
trans_026,trans,medium,en-uz,Quyidagi gapni o'zbek tiliga tarjima qiling: Could you please tell me how to get to the station?,"Iltimos, bekatga qanday borishni ayta olasizmi?",,,
trans_027,trans,hard,uz-en,"Quyidagi gapni ingliz tiliga tarjima qiling: Vatanga muhabbat bu nafaqat so'z, balki amaldir.","Love for the homeland is not just a word, but an action.",,,
trans_028,trans,hard,en-uz,Quyidagi ingliz iborasini o'zbek tilidagi mos ma'no bilan bering: To kill two birds with one stone.,Bir o'q bilan ikki quyonni urmoq.,,,
trans_029,trans,medium,uz-en,Quyidagi gapni ingliz tiliga tarjima qiling: Parolingizni hech kimga bermang va uni muntazam yangilab turing.,Do not give your password to anyone and update it regularly.,,,
trans_030,trans,medium,en-uz,Quyidagi gapni o'zbek tiliga tarjima qiling: Thousands of people attended the festival in the city centre.,Minglab odamlar shahar markazidagi festivalda ishtirok etdi.,,,
reas_001,reas,easy,,"Bir savatda 8 ta olma bor edi. Ali 3 tasini oldi, keyin Vali 2 tasini qo'shdi. Hozir savatda nechta olma bor?",7 (yettita),,,
reas_002,reas,easy,,"Agar bitta qalam 2000 so'm bo'lsa, 5 ta qalam necha so'm turadi?",10 000 so'm,,,
reas_003,reas,medium,,Do'konda 3 ta daftar 12 000 so'm turadi. Malika 8 ta daftar sotib olmoqchi. U qancha to'laydi?,32 000 so'm,,,
reas_004,reas,medium,,"Poyezd soat 14:30 da jo'nab, manzilga 3 soat 45 daqiqada yetib boradi. U soat nechada yetib boradi?",18:15,,,
reas_005,reas,medium,,Bir sinfda 24 o'quvchi bor. Ularning uchdan biri qizlar. Sinfda nechta o'g'il bola bor?,16 o'g'il bola,,,
reas_006,reas,medium,,Karim Dilshoddan 5 yosh katta. Dilshod 12 yoshda. Ularning yoshlari yig'indisi nechchi?,29,,,
reas_007,reas,hard,,Uch aka-uka bor. Kattasi o'rtanchasidan 4 yosh katta. O'rtanchasi kichigidan 3 yosh katta. Ularning yoshlari yig'indisi 40. Har birining yoshini toping.,"Kichigi 10, o'rtanchasi 13, kattasi 17",,,
reas_008,reas,medium,,"Bir dehqonda 30 ta tovuq va qo'y bor. Ularning oyoqlari jami 84 ta. Nechta qo'y bor? (Tovuqning 2, qo'yning 4 oyog'i bor.)",12 qo'y,,,
reas_009,reas,easy,,Soat hozir 9:00. 90 daqiqadan keyin soat nechada bo'ladi?,10:30,,,
reas_010,reas,medium,,Bir mashina soatiga 80 km tezlikda yuradi. U 240 km masofani qancha vaqtda bosib o'tadi?,3 soat,,,
reas_011,reas,hard,,Ikki ishchi birgalikda bir ishni 6 soatda bajaradi. Birinchi ishchi yolg'iz o'zi uni 10 soatda bajaradi. Ikkinchi ishchi yolg'iz o'zi qancha vaqtda bajaradi?,15 soat,,,
reas_012,reas,medium,,Bir mahsulot 50 000 so'm turadi. Unga 20% chegirma qilindi. Yangi narxi qancha?,40 000 so'm,,,
reas_013,reas,medium,,"Agar 5 ta ishchi bir devorni 4 kunda qursa, 10 ta ishchi xuddi shunday devorni necha kunda quradi? (Barcha ishchilar bir xil tezlikda ishlaydi.)",2 kun,,,
reas_014,reas,hard,,"Bir sonni 3 ga ko'paytirib, ustiga 7 qo'shsak, 28 hosil bo'ladi. Bu son nechchi?",7,,,
reas_015,reas,easy,,Bir hafta 7 kun. 4 hafta va 3 kun necha kun bo'ladi?,31 kun,,,
reas_016,reas,medium,,Anvar 100 000 so'mga 3 ta kitob sotib oldi. Har bir kitob 28 000 so'm. Unga qancha qaytim qaytariladi?,16 000 so'm,,,
reas_017,reas,hard,,"Bir hovuzni to'ldirish uchun birinchi quvur 4 soat, ikkinchi quvur 6 soat kerak. Ikkalasi birga ochilsa, hovuz qancha vaqtda to'ladi?",2 soat 24 daqiqa,,,
reas_018,reas,medium,,"Bir to'g'ri to'rtburchakning uzunligi 8 m, eni 5 m. Uning perimetri qancha?",26 m,,,
reas_019,reas,medium,,"Bir to'g'ri to'rtburchakning uzunligi 8 m, eni 5 m. Uning yuzasi qancha?",40 kvadrat metr,,,
reas_020,reas,easy,,"Bir qutida 12 ta konfet bor. Ularni 4 ta bolaga teng bo'lib bersak, har biriga nechtadan tegadi?",3 ta,,,
reas_021,reas,hard,,Otaning yoshi o'g'lining yoshidan 3 baravar katta. 10 yildan keyin ota o'g'lidan 2 baravar katta bo'ladi. Hozir ota necha yoshda?,30 yosh,,,
reas_022,reas,medium,,Bir kishi har kuni 15 sahifadan kitob o'qiydi. 200 sahifalik kitobni necha kunda tugatadi? (Butun kunlarda javob bering.),14 kun,,,
reas_023,reas,medium,,Bir raqamli soatda hozir 23:50. 25 daqiqadan keyin soat nechani ko'rsatadi?,0:15,,,
reas_024,reas,hard,,5 ta ketma-ket kelgan butun sonning yig'indisi 65. Bu sonlarning eng kichigi qaysi?,11,,,
reas_025,reas,medium,,Bir sumkada qizil va ko'k to'plar bor. Qizil to'plar soni ko'k to'plardan 2 baravar ko'p. Jami 18 ta to'p bor. Nechta qizil to'p bor?,12 ta qizil to'p,,,
reas_026,reas,easy,,Bir avtobusda 40 o'rin bor. 27 o'rin band. Nechta bo'sh o'rin bor?,13 ta,,,
reas_027,reas,medium,,"Agar bugun payshanba bo'lsa, 100 kundan keyin haftaning qaysi kuni bo'ladi?",Shanba,,,
reas_028,reas,hard,,Bir tovar tannarxiga 25% ustama qo'yib sotildi va 75 000 so'm bo'ldi. Tovarning tannarxi qancha edi?,60 000 so'm,,,
reas_029,reas,medium,,"Bir bog'da 5 qator daraxt bor, har qatorda 8 tadan. Ularning 6 tasi qurib qoldi. Hozir nechta tirik daraxt bor?",34 ta,,,
reas_030,reas,hard,,"Ikki sonning yig'indisi 20, ayirmasi 4. Bu sonlar qaysi?",12 va 8,,,
cult_001,cult,easy,,O'zbek uylarida mehmon kelganda dasturxonga birinchi navbatda qanday noz-ne'mat qo'yiladi va u nimani ramziy ifodalaydi?,"Non (va odatda choy). Non muqaddas hisoblanadi, mo'l-ko'lchilik va hurmat ramzi.",,,
cult_002,cult,medium,,'Mahalla' nima va u o'zbek jamiyatida qanday vazifani bajaradi?,"Mahalla an'anaviy mahalliy jamoa/qo'shnichilik tuzilmasi. U o'zaro yordam, ijtimoiy nazorat, marosimlarni tashkil qilish va nizolarni hal etishda muhim rol o'ynaydi.",,,
cult_003,cult,medium,,'Hashar' nima va u qanday holatlarda tashkil qilinadi?,"Hashar biror ishni amalga oshirishda ko‘pchilikning o‘z ixtiyori bilan, bepul va birgalikda ishtirok etishi",,,
cult_004,cult,hard,,"Yoshi katta, hurmatli qarindoshingizga xat yozayotganda qanday murojaat va hurmat shakllaridan foydalanish kerak? Bir misol keltiring.","Hurmatli murojaat: 'Hurmatli...', 'Assalomu alaykum', ko'plik/hurmat shakli 'siz' ishlatiladi, fe'llar hurmat shaklida (masalan 'yozdingiz', 'kelasiz'). Misol: 'Assalomu alaykum, hurmatli amakijon, ahvollaringiz yaxshimi?'",,,
cult_005,cult,easy,,Navro'z bayrami qachon nishonlanadi va u nimani anglatadi?,"Navro'z 21-martda (bahorgi tengkunlik) nishonlanadi. U yangi yil, bahor va tabiatning uyg'onishini anglatadi.",,,
cult_006,cult,medium,,"Navro'zda tayyorlanadigan, undirilgan bug'doydan qilinadigan an'anaviy taom nima deb ataladi?",Sumalak,,,
cult_007,cult,easy,,"O'zbek milliy taomlaridan biri guruch, sabzi, go'sht va yog'dan tayyorlanadigan, to'y va bayramlarda albatta beriladigan taom qaysi?",Osh (palov),,,
cult_008,cult,medium,,O'zbek to'ylarida 'osh' (to'y oshi) odatda kunning qaysi qismida beriladi va bu tadbir qanday ataladi?,Ertalab (erta tongda) beriladi; 'ertalabki osh' yoki 'to'y oshi' deb ataladi.,,,
cult_009,cult,hard,,O'zbek madaniyatida katta yoshli insonga hurmat qanday ko'rsatiladi? Kamida ikkita an'anaviy odatni ayting.,Masalan: ikki qo'lni ko'ksiga qo'yib salom berish/ta'zim qilish; kattalar oldida o'rnidan turish; ularga birinchi bo'lib joy va taom taklif qilish; 'siz'lab gapirish; ularning gapini bo'lmaslik. (istalgan ikkitasi),,,
cult_010,cult,medium,,O'zbeklar salomlashganda erkaklar o'rtasida qo'l berib ko'rishishdan tashqari yana qanday hurmat ishorasi bor?,O'ng qo'lni chap ko'krakka (yurak ustiga) qo'yish; ba'zan ikki qo'llab qo'l berish yoki ozgina engashish.,,,
cult_011,cult,medium,,O'zbek uyiga kirishdan oldin nima qilish odat tusiga kirgan?,Poyabzalni (oyoq kiyimni) yechish.,,,
cult_012,cult,hard,,Non o'zbek madaniyatida muqaddas hisoblanadi. Non bilan bog'liq kamida ikkita odob qoidasini ayting.,Masalan: nonni yerga tashlamaslik/oyoq ostiga qo'ymaslik; nonni to'ntarib qo'ymaslik; nonni sindirib ushatish (pichoq bilan kesmaslik odati ba'zi joylarda); non ustiga narsa qo'ymaslik. (istalgan ikkitasi),,,
cult_013,cult,medium,,'Beshik to'yi' nima?,Chaqaloq beshikka belanganda (odatda tug'ilgandan bir necha kun/hafta o'tib) o'tkaziladigan an'anaviy marosim/to'y.,,,
cult_014,cult,medium,,O'zbek choyxonasi (choyxona) qanday joy va u jamiyatda qanday rol o'ynaydi?,"Choyxona choy ichib, suhbatlashib, dam olinadigan an'anaviy jamoat joyi. Erkaklar yig'ilib muloqot qiladigan, yangiliklar almashadigan ijtimoiy markaz.",,,
cult_015,cult,easy,,"O'zbeklar choy quyganda mehmonning piyolasiga to'ldirib quyadimi yoki ozroq quyadimi, va nega?","Ozroq quyadi (piyola to'la quyilmaydi). Bu hurmat belgisi. Ozroq quyilsa, mehmon ko'p marta so'rab, uzoq o'tiradi va mezbon unga ko'proq e'tibor beradi. To'la quyish 'tez ket' degan ma'noni bildirishi mumkin.",,,
cult_016,cult,hard,,O'zbek tilida 'siz' va 'sen' olmoshlari qachon ishlatiladi? Farqini tushuntiring.,"Sen' yaqin tenglar, do'stlar, kichiklar yoki oila a'zolari bilan norasmiy muloqotda. 'Siz' kattalarga, notanish odamlarga, hurmatli shaxslarga nisbatan hurmat va rasmiylik uchun. Kattaga 'sen' deyish qo'pollik hisoblanadi.",,,
cult_017,cult,medium,,"O'zbek an'anaviy erkaklar bosh kiyimi, to'rtburchak shaklidagi, qora-oq naqshli bosh kiyim nima deb ataladi?",Do'ppi (to'ppi),,,
cult_018,cult,medium,,Ramazon oyida ro'za tutuvchilar kun botganda ro'zani ochish uchun qiladigan taomlanish nima deb ataladi?,Iftor (iftorlik),,,
cult_019,cult,hard,,O'zbek mehmondo'stligi (mehmonnavozlik) haqida gapiring: mehmon kelganda mezbonning asosiy majburiyatlari nimalardan iborat?,"Mezbon mehmonni ochiq yuz bilan kutib oladi, eng yaxshi joyni taklif qiladi, dasturxon yozib, non-choy va taom taklif qiladi, mehmonning ehtiyojlarini o'z ehtiyojidan ustun qo'yadi. 'Mehmon otangdan ulug'' maqoli shu qadriyatni ifodalaydi.",,,
cult_020,cult,medium,,O'zbek dasturxonida 'to'r' nima va u yerga kim o'tiradi?,"To'r xonaning eshikdan eng uzoq, eng hurmatli joyi. U yerga eng katta yoshli yoki eng hurmatli mehmon o'tqaziladi.",,,
cult_021,cult,hard,,O'zbek an'analarida 'qalin' so'zi to'y bilan bog'liq holda nimani anglatadi?,Qalin - kuyov tomonidan kelin oilasiga beriladigan an'anaviy to'y sovg'asi/mahr (moddiy qadriyat yoki sovg'alar). An'anaviy nikoh odatlaridan biri.,,,
cult_022,cult,medium,,O'zbeklarda 'osh berish' yoki 'ma'raka' motam bilan bog'liq holda nimani anglatadi?,"Marhum xotirasiga uyushtiriladigan ma'raka/ehson, odatda vafotdan keyin ma'lum kunlarda (masalan, uch, yetti, yigirma, qirq kun va yil) o'tkaziladigan xotira marosimi, unda osh beriladi.",,,
cult_023,cult,easy,,"O'zbekiston qaysi mashhur an'anaviy hunarmandchilik mahsuloti bilan tanilgan, ayniqsa Rishton shahri qaysi buyum bilan mashhur?",Sopol buyumlar / kulolchilik (Rishton ko'k sirli sopol idishlari bilan mashhur).,,,
cult_024,cult,medium,,"O'zbek to'ylarida kelin kuyov uyiga kelganda o'tkaziladigan, kelinni tanishtirish marosimi nima deb ataladi?",Kelin salom (yoki 'yuz ochar'). Kelin katta-kichikka ta'zim qilib salom beradi.,,,
cult_025,cult,hard,,O'zbek madaniyatida ayol va erkaklarga xos an'anaviy rollar bo'lgan. To'y tayyorgarligida (masalan osh tayyorlashda) an'anaviy taqsimot qanday bo'lgan?,"An'anaviy tarzda katta qozonda osh (palov) pishirish ko'pincha erkaklarning (oshpaz) vazifasi hisoblanadi, ayollar esa boshqa taomlar, shirinliklar, dasturxon tayyorlash va mehmonlarni kutishda faol bo'ladi. (Zamonaviy hayotda bu rollar o'zgarmoqda.)",,,
cult_026,cult,medium,,O'zbeklarda kimdir aksa urganda (yotalganda) yoki biror yaxshi ish bo'lganda aytiladigan tilaklardan birini ayting.,"Masalan: 'Sog' bo'ling', 'Salomat bo'ling', 'Yashang', 'Barakalla', 'Omin' (duo qilinganda). (istalgan biri)",,,
cult_027,cult,hard,,'Kattakonlik' yoki 'oqsoqol' tushunchasi o'zbek jamoasida nimani anglatadi?,"Oqsoqol - mahalla yoki jamoaning obro'li, tajribali keksa rahbari/oqsoqoli. U nizolarni hal qiladi, maslahat beradi va jamoada hurmatga sazovor. ""Oq soqol"" - donolik va yosh ramzi.",,,
cult_028,cult,medium,,"O'zbek an'anaviy to'yidan oldin kelinnikida o'tkaziladigan, faqat ayollar yig'iladigan marosim nima deb atalishi mumkin?","Qiz oshi', 'kelinlik' yoki 'qiz yig'di'/'qiz majlisi' kabi ayollar marosimlari (mintaqaga qarab nomi farq qiladi). Odatda qizni uzatish oldidan o'tkaziladi.",,,
cult_029,cult,easy,,O'zbek tilida biror kishining uyiga kirganda yoki mehmon kutganda aytiladigan salomlashish iborasi qaysi?,'Assalomu alaykum' (javoban 'Va alaykum assalom'). Uyga 'Xush kelibsiz' deb kutib olinadi.,,,
cult_030,cult,hard,,O'zbek madaniyatida 'andisha' tushunchasi nimani anglatadi va nega u muhim qadriyat hisoblanadi?,"Andisha - o'ylab ish tutish, o'zganing his-tuyg'ularini hisobga olish, hayo va nazokat bilan muomala qilish, boshqalarni noqulay ahvolga solmaslik. U o'zbek axloqida muhim ijtimoiy qadriyat, insonning boshqalar oldida mas'uliyatli ekanligini bildiradi.",,,
